timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_road_id,distance_km,duration_minutes,fare_amount,status
2026-06-15T22:28:49.028805+00:00,30.094044,31.236593,30.078066,31.332637,2,9.41,24.4,122.18,COMPLETED
2026-06-15T22:28:49.028805+00:00,30.080701,31.321382,30.053733,31.209726,7,11.16,29.6,143.1,COMPLETED
2026-06-15T23:22:49.028805+00:00,30.047343,31.225024,30.100578,31.306124,13,9.79,26.4,128.02,COMPLETED
2026-06-15T22:56:49.028805+00:00,30.061034,31.391254,30.034671,31.274828,9,11.58,29.3,145.8,COMPLETED
2026-06-15T22:57:49.028805+00:00,30.005533,31.186745,30.093931,31.30384,11,14.95,27.9,168.98,COMPLETED
2026-06-15T22:29:49.028805+00:00,30.156702,31.451616,30.004453,31.207501,6,28.95,60.6,323.02,COMPLETED
2026-06-15T23:05:49.028805+00:00,29.981388,31.213925,30.107921,31.365389,5,20.26,43.2,231.75,COMPLETED
2026-06-15T22:57:49.028805+00:00,30.042324,31.224546,30.091704,31.210629,1,5.65,17.3,83.32,CANCELLED
2026-06-15T23:00:49.028805+00:00,30.032758,31.205863,30.027705,31.295864,12,8.68,22.3,113.55,CANCELLED
2026-06-15T22:45:49.028805+00:00,30.011714,31.14406,30.075522,31.324795,3,18.79,65.0,253.42,COMPLETED
2026-06-15T22:29:49.028805+00:00,30.063286,31.226552,30.074244,31.335078,2,10.51,27.1,134.48,COMPLETED
2026-06-15T23:11:49.028805+00:00,30.022278,31.279373,30.048142,31.208346,1,7.42,15.2,93.45,COMPLETED
2026-06-15T22:39:49.028805+00:00,29.995921,31.188267,29.867209,31.560505,10,38.62,122.6,488.55,COMPLETED
2026-06-15T23:07:49.028805+00:00,29.979222,31.167264,30.080786,31.325676,10,18.98,61.9,250.2,COMPLETED
2026-06-15T23:36:49.028805+00:00,30.129484,31.350567,30.065425,31.214119,15,14.93,41.9,189.82,COMPLETED
2026-06-16T00:18:49.028805+00:00,30.077708,31.351248,30.092816,31.360711,7,1.91,4.0,35.33,COMPLETED
2026-06-16T00:05:49.028805+00:00,30.128769,31.321343,30.13009,31.338741,9,1.68,5.3,35.55,COMPLETED
2026-06-16T00:08:49.028805+00:00,30.068869,31.186612,30.046673,31.218726,3,3.96,11.1,61.35,COMPLETED
2026-06-15T23:57:49.028805+00:00,30.079246,31.20108,30.026498,31.172106,2,6.49,16.0,87.68,COMPLETED
2026-06-15T23:47:49.028805+00:00,30.098867,31.306693,29.998263,31.185729,15,16.15,48.0,208.12,COMPLETED
2026-06-16T01:04:49.028805+00:00,30.322018,31.688958,30.047374,31.337185,4,45.56,145.2,574.5,CANCELLED
2026-06-16T00:31:49.028805+00:00,30.092472,31.32895,30.001578,31.192966,15,16.54,40.6,199.95,CANCELLED
2026-06-16T01:04:49.028805+00:00,30.026802,31.234365,30.030387,31.181185,2,5.14,16.0,77.55,COMPLETED
2026-06-16T01:16:49.028805+00:00,30.069882,31.373919,29.98723,31.334116,6,9.96,22.0,122.7,COMPLETED
2026-06-16T01:16:49.028805+00:00,30.378026,31.177408,30.009024,31.188948,4,41.05,129.5,517.12,COMPLETED
2026-06-16T00:35:49.028805+00:00,30.069752,31.332451,30.041277,31.225922,8,10.73,34.4,147.07,COMPLETED
2026-06-16T01:21:49.028805+00:00,30.0905,31.221985,30.04626,31.308443,5,9.67,22.8,121.72,COMPLETED
2026-06-16T00:42:49.028805+00:00,30.404595,31.694089,29.995132,31.204909,4,65.45,158.5,743.62,NO_SHOW
2026-06-16T02:22:49.028805+00:00,30.070889,31.343395,29.981516,31.205396,8,16.59,31.4,186.52,COMPLETED
2026-06-16T01:42:49.028805+00:00,30.053061,31.169434,30.123101,31.326533,3,17.0,30.7,188.55,COMPLETED
2026-06-16T01:43:49.028805+00:00,30.047877,31.179174,29.991163,31.21145,5,7.03,23.1,102.38,COMPLETED
2026-06-16T01:38:49.028805+00:00,30.055355,31.218615,30.08284,31.193352,13,3.91,9.8,59.03,COMPLETED
2026-06-16T01:24:49.028805+00:00,30.061953,31.09984,30.083618,31.323666,3,21.67,57.2,263.33,COMPLETED
2026-06-16T02:04:49.028805+00:00,30.081842,31.241846,29.973747,31.218207,1,12.23,28.2,149.02,COMPLETED
2026-06-16T01:57:49.028805+00:00,29.739128,31.700545,30.041169,31.305111,4,50.81,92.6,534.98,COMPLETED
2026-06-16T02:20:49.028805+00:00,30.087129,31.252013,29.999772,31.191663,14,11.32,32.4,148.5,COMPLETED
2026-06-16T01:58:49.028805+00:00,30.475456,30.996425,30.105458,31.343631,4,52.95,113.9,582.98,COMPLETED
2026-06-16T01:30:49.028805+00:00,30.032225,31.201265,29.979175,31.191479,12,5.97,20.5,90.52,COMPLETED
2026-06-16T01:55:49.028805+00:00,30.12883,31.323842,30.10641,31.153008,15,16.62,44.3,206.1,COMPLETED
2026-06-16T02:16:49.028805+00:00,30.026346,31.191255,30.040309,31.152503,10,4.04,12.5,64.05,COMPLETED
2026-06-16T01:27:49.028805+00:00,29.981429,31.177771,30.068689,31.332178,3,17.75,58.1,235.28,COMPLETED
2026-06-16T02:03:49.028805+00:00,29.990635,31.20993,30.077309,31.331608,11,15.17,28.1,170.92,COMPLETED
2026-06-16T02:49:49.028805+00:00,29.991099,31.160018,30.105207,31.446704,10,30.37,55.6,326.18,CANCELLED
2026-06-16T02:24:49.028805+00:00,30.069947,31.225,30.038349,31.161053,13,7.09,14.4,89.78,COMPLETED
2026-06-16T03:16:49.028805+00:00,30.025279,31.329187,30.006416,31.22413,9,10.33,19.4,121.57,COMPLETED
2026-06-16T03:03:49.028805+00:00,30.049158,31.219558,30.072334,31.162174,5,6.09,19.0,89.18,COMPLETED
2026-06-16T03:08:49.028805+00:00,30.064934,31.229738,29.998831,31.164725,13,9.65,32.8,136.57,CANCELLED
2026-06-16T03:07:49.028805+00:00,30.043671,31.217028,30.443929,31.564011,13,55.6,119.4,611.1,COMPLETED
2026-06-16T03:59:49.028805+00:00,30.068959,31.217434,30.022422,31.191489,13,5.75,12.3,76.58,COMPLETED
2026-06-16T04:19:49.028805+00:00,29.523826,31.300143,30.485509,31.492212,14,108.52,336.7,1333.95,COMPLETED
2026-06-16T04:06:49.028805+00:00,30.070114,31.335906,30.092901,31.279532,8,5.99,14.5,81.68,COMPLETED
2026-06-16T04:20:49.028805+00:00,30.043293,31.256252,30.003673,31.264179,1,4.47,8.3,60.98,COMPLETED
2026-06-16T03:35:49.028805+00:00,30.056471,31.222863,30.119623,31.3245,13,12.04,23.9,141.15,COMPLETED
2026-06-16T04:11:49.028805+00:00,30.063808,31.224407,30.068942,31.344871,1,11.61,39.9,161.92,COMPLETED
2026-06-16T04:01:49.028805+00:00,30.01925,31.182771,30.028728,31.185658,5,1.09,2.1,26.33,CANCELLED
2026-06-16T04:03:49.028805+00:00,30.061029,31.361844,30.063535,31.131859,9,22.13,58.7,269.02,CANCELLED
2026-06-16T04:08:49.028805+00:00,30.083917,31.184889,29.864816,31.48725,12,37.97,113.8,470.48,COMPLETED
2026-06-16T03:35:49.028805+00:00,30.081001,31.150815,30.115389,31.349027,12,19.45,54.1,242.02,COMPLETED
2026-06-16T03:46:49.028805+00:00,29.66539,30.859548,30.079443,31.158053,14,54.3,183.8,697.95,COMPLETED
2026-06-16T03:53:49.028805+00:00,30.098059,31.346013,30.07862,31.344155,7,2.17,6.1,40.42,COMPLETED
