sensor_id,road_id,timestamp,vehicle_count,average_speed_kmh,traffic_density,congestion_index,congestion_level,weather_id,hour,day_of_week,month,is_weekend,is_rush_hour
SENSOR_TAHRIR_SQUARE_01,1,2026-06-15T22:24:49.028805+00:00,359,34.99,9.07,0.3,MEDIUM,1,22,0,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-15T22:24:49.028805+00:00,248,38.57,6.72,0.36,MEDIUM,1,22,0,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-15T22:24:49.028805+00:00,310,58.07,3.64,0.35,MEDIUM,1,22,0,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-15T22:24:49.028805+00:00,350,36.95,1.24,0.54,HIGH,1,22,0,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-15T22:24:49.028805+00:00,232,36.96,5.41,0.38,MEDIUM,1,22,0,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-15T22:24:49.028805+00:00,314,67.08,3.57,0.33,MEDIUM,1,22,0,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-15T22:24:49.028805+00:00,322,30.42,16.51,0.49,MEDIUM,1,22,0,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-15T22:24:49.028805+00:00,156,34.57,39.0,0.31,MEDIUM,1,22,0,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-15T22:24:49.028805+00:00,219,25.46,9.12,0.49,MEDIUM,1,22,0,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-15T22:24:49.028805+00:00,203,44.25,9.4,0.26,MEDIUM,1,22,0,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-15T22:24:49.028805+00:00,329,32.25,23.33,0.46,MEDIUM,1,22,0,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-15T22:24:49.028805+00:00,135,37.7,6.49,0.25,LOW,1,22,0,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-15T22:24:49.028805+00:00,239,21.3,44.26,0.57,HIGH,1,22,0,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-15T22:24:49.028805+00:00,237,56.44,0.85,0.29,MEDIUM,1,22,0,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-15T22:24:49.028805+00:00,233,36.3,11.77,0.4,MEDIUM,1,22,0,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-15T23:24:49.028805+00:00,42,47.77,1.06,0.04,LOW,2,23,0,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-15T23:24:49.028805+00:00,64,57.94,1.73,0.03,LOW,2,23,0,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-15T23:24:49.028805+00:00,31,83.29,0.36,0.07,LOW,2,23,0,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-15T23:24:49.028805+00:00,42,76.03,0.15,0.05,LOW,2,23,0,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-15T23:24:49.028805+00:00,67,57.55,1.56,0.04,LOW,2,23,0,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-15T23:24:49.028805+00:00,112,87.12,1.27,0.13,LOW,2,23,0,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-15T23:24:49.028805+00:00,64,51.97,3.28,0.13,LOW,2,23,0,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-15T23:24:49.028805+00:00,37,45.61,9.25,0.09,LOW,2,23,0,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-15T23:24:49.028805+00:00,43,44.28,1.79,0.11,LOW,2,23,0,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-15T23:24:49.028805+00:00,77,50.8,3.56,0.15,LOW,2,23,0,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-15T23:24:49.028805+00:00,83,51.71,5.89,0.14,LOW,2,23,0,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-15T23:24:49.028805+00:00,36,46.48,1.73,0.07,LOW,2,23,0,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-15T23:24:49.028805+00:00,15,52.07,2.78,0.0,LOW,2,23,0,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-15T23:24:49.028805+00:00,43,77.41,0.15,0.03,LOW,2,23,0,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-15T23:24:49.028805+00:00,61,57.02,3.08,0.05,LOW,2,23,0,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T00:24:49.028805+00:00,32,50.63,0.81,0.0,LOW,3,0,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T00:24:49.028805+00:00,42,55.57,1.14,0.07,LOW,3,0,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T00:24:49.028805+00:00,69,81.34,0.81,0.1,LOW,3,0,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T00:24:49.028805+00:00,72,67.98,0.26,0.15,LOW,3,0,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T00:24:49.028805+00:00,89,53.54,2.07,0.11,LOW,3,0,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T00:24:49.028805+00:00,100,87.49,1.14,0.13,LOW,3,0,1,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-16T00:24:49.028805+00:00,25,56.76,1.28,0.05,LOW,3,0,1,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T00:24:49.028805+00:00,39,48.99,9.75,0.02,LOW,3,0,1,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T00:24:49.028805+00:00,50,48.14,2.08,0.04,LOW,3,0,1,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T00:24:49.028805+00:00,53,59.97,2.45,0.0,LOW,3,0,1,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T00:24:49.028805+00:00,80,49.5,5.67,0.17,LOW,3,0,1,6,False,False
